nome,bruto,processado
fog-cloud,"
Fog Cloud







Source: Player's Handbook
1st-level conjuration
Casting Time: 1 action
Range: 120 feet
Components: V, S
Duration: Concentration, up to 1 hour
You create a 20-foot-radius sphere of fog centered on a point within range. The sphere spreads around corners, and its area is heavily obscured. It lasts for the duration or until a wind of moderate or greater speed (at least 10 miles per hour) disperses it.
At Higher Levels. When you cast this spell using a spell slot of 2nd level or higher, the radius of the fog increases by 20 feet for each slot level above 1st.
Spell Lists. Druid, Ranger, Sorcerer, Wizard












","['fog', 'cloud', 'source', 'players', 'handbook', '1stlevel', 'conjuration', 'casting', 'time', '1', 'action', 'range', '120', 'feet', 'components', 'v', 'duration', 'concentration', '1', 'hour', 'create', '20footradius', 'sphere', 'fog', 'centered', 'point', 'within', 'range', 'sphere', 'spreads', 'around', 'corners', 'area', 'heavily', 'obscured', 'lasts', 'duration', 'wind', 'moderate', 'greater', 'speed', 'least', '10', 'miles', 'per', 'hour', 'disperses', 'higher', 'levels', 'cast', 'spell', 'using', 'spell', 'slot', '2nd', 'level', 'higher', 'radius', 'fog', 'increases', '20', 'feet', 'slot', 'level', '1st', 'spell', 'lists', 'druid', 'ranger', 'sorcerer', 'wizard']"
frost-fingers,"
Frost Fingers







Source: Icewind Dale - Rime of the Frostmaiden
1st-level evocation
Casting Time: 1 action
Range: Self (15-foot cone)
Components: V, S
Duration: Instantaneous
Freezing cold blasts from your fingertips in a 15-foot cone. Each creature in that area must make a Constitution saving throw, taking 2d8 cold damage on a failed save, or half as much damage on a successful one.
The cold freezes nonmagical liquids in the area that aren't being worn or carried.
At Higher Levels. When you cast this spell using a spell slot of 2nd level or higher, the damage increases by 1d8 for each slot level above 1st.
Spell Lists. Wizard












","['frost', 'fingers', 'source', 'icewind', 'dale', 'rime', 'frostmaiden', '1stlevel', 'evocation', 'casting', 'time', '1', 'action', 'range', 'self', '15foot', 'cone', 'components', 'v', 'duration', 'instantaneous', 'freezing', 'cold', 'blasts', 'fingertips', '15foot', 'cone', 'creature', 'area', 'must', 'make', 'constitution', 'saving', 'throw', 'taking', '2d8', 'cold', 'damage', 'failed', 'save', 'half', 'much', 'damage', 'successful', 'one', 'cold', 'freezes', 'nonmagical', 'liquids', 'area', 'arent', 'worn', 'carried', 'higher', 'levels', 'cast', 'spell', 'using', 'spell', 'slot', '2nd', 'level', 'higher', 'damage', 'increases', '1d8', 'slot', 'level', '1st', 'spell', 'lists', 'wizard']"
gift-of-alacrity,"
Gift of Alacrity







Source: Explorer's Guide to Wildemount
1st-level divination (dunamancy:chronurgy)
Casting Time: 1 minute
Range: Touch
Components: V, S
Duration: 8 hours
You touch a willing creature. For the duration, the target can add 1d8 to its initiative rolls.
Spell Lists. Wizard (Dunamancy)












","['gift', 'alacrity', 'source', 'explorers', 'guide', 'wildemount', '1stlevel', 'divination', 'dunamancychronurgy', 'casting', 'time', '1', 'minute', 'range', 'touch', 'components', 'v', 'duration', '8', 'hours', 'touch', 'willing', 'creature', 'duration', 'target', 'add', '1d8', 'initiative', 'rolls', 'spell', 'lists', 'wizard', 'dunamancy']"
goodberry,"
Goodberry







Source: Player's Handbook
1st-level transmutation
Casting Time: 1 action
Range: Touch
Components: V, S, M (a sprig of mistletoe)
Duration: Instantaneous
Up to ten berries appear in your hand and are infused with magic for the duration. A creature can use its action to eat one berry. Eating a berry restores 1 hit point, and the berry provides enough nourishment to sustain a creature for one day.
The berries lose their potency if they have not been consumed within 24 hours of the casting of this spell.
Spell Lists. Druid, Ranger












","['goodberry', 'source', 'players', 'handbook', '1stlevel', 'transmutation', 'casting', 'time', '1', 'action', 'range', 'touch', 'components', 'v', 'sprig', 'mistletoe', 'duration', 'instantaneous', 'ten', 'berries', 'appear', 'hand', 'infused', 'magic', 'duration', 'creature', 'use', 'action', 'eat', 'one', 'berry', 'eating', 'berry', 'restores', '1', 'hit', 'point', 'berry', 'provides', 'enough', 'nourishment', 'sustain', 'creature', 'one', 'day', 'berries', 'lose', 'potency', 'consumed', 'within', '24', 'hours', 'casting', 'spell', 'spell', 'lists', 'druid', 'ranger']"
grease,"
Grease







Source: Player's Handbook
1st-level conjuration
Casting Time: 1 action
Range: 60 feet
Components: V, S, M (a bit of pork rind or butter)
Duration: 1 minute
Slick grease covers the ground in a 10-foot square centered on a point within range and turns it into difficult terrain for the duration.
When the grease appears, each creature standing in its area must succeed on a Dexterity saving throw or fall prone. A creature that enters the area or ends its turn there must also succeed on a Dexterity saving throw or fall prone.
Spell Lists. Artificer, Sorcerer (Optional), Wizard












","['grease', 'source', 'players', 'handbook', '1stlevel', 'conjuration', 'casting', 'time', '1', 'action', 'range', '60', 'feet', 'components', 'v', 'bit', 'pork', 'rind', 'butter', 'duration', '1', 'minute', 'slick', 'grease', 'covers', 'ground', '10foot', 'square', 'centered', 'point', 'within', 'range', 'turns', 'difficult', 'terrain', 'duration', 'grease', 'appears', 'creature', 'standing', 'area', 'must', 'succeed', 'dexterity', 'saving', 'throw', 'fall', 'prone', 'creature', 'enters', 'area', 'ends', 'turn', 'must', 'also', 'succeed', 'dexterity', 'saving', 'throw', 'fall', 'prone', 'spell', 'lists', 'artificer', 'sorcerer', 'optional', 'wizard']"
guiding-bolt,"
Guiding Bolt







Source: Player's Handbook
1st-level evocation
Casting Time: 1 action
Range: 120 feet
Components: V, S
Duration: 1 round
A flash of light streaks toward a creature of your choice within range. Make a ranged spell attack against the target. On a hit, the target takes 4d6 radiant damage, and the next attack roll made against this target before the end of your next turn has advantage, thanks to the mystical dim light glittering on the target until then.
At Higher Levels. When you cast this spell using a spell slot of 2nd level or higher, the damage increases by 1d6 for each slot level above 1st.
Spell Lists. Cleric












","['guiding', 'bolt', 'source', 'players', 'handbook', '1stlevel', 'evocation', 'casting', 'time', '1', 'action', 'range', '120', 'feet', 'components', 'v', 'duration', '1', 'round', 'flash', 'light', 'streaks', 'toward', 'creature', 'choice', 'within', 'range', 'make', 'ranged', 'spell', 'attack', 'target', 'hit', 'target', 'takes', '4d6', 'radiant', 'damage', 'next', 'attack', 'roll', 'made', 'target', 'end', 'next', 'turn', 'advantage', 'thanks', 'mystical', 'dim', 'light', 'glittering', 'target', 'higher', 'levels', 'cast', 'spell', 'using', 'spell', 'slot', '2nd', 'level', 'higher', 'damage', 'increases', '1d6', 'slot', 'level', '1st', 'spell', 'lists', 'cleric']"
guiding-hand-ua,"
Guiding Hand (UA)







Source: Unearthed Arcana 36 - Starter Spells
1st-level divination (ritual)
Casting Time: 1 minute
Range: 5 feet
Components: V, S
Duration: Concentration, up to 8 hours
You create a Tiny incorporeal hand of shimmering light in an unoccupied space you can see within range. The hand exists for the duration, but it disappears if you teleport or you travel to a different plane of existence.
When the hand appears, you name one major landmark, such as a city, mountain, castle, or battlefield on the same plane of existence as you. Someone in history must have visited the site and mapped it. If the landmark appears on no map in existence, the spell fails. Otherwise, whenever you move toward the hand, it moves away from you at the same speed you moved, and it moves in the direction of the landmark, always remaining 5 feet away from you.
If you don’t move toward the hand, it remains in place until you do and beckons for you to follow once every 1d4 minutes.
Spell Lists. Bard, Cleric, Druid, Wizard












","['guiding', 'hand', 'ua', 'source', 'unearthed', 'arcana', '36', 'starter', 'spells', '1stlevel', 'divination', 'ritual', 'casting', 'time', '1', 'minute', 'range', '5', 'feet', 'components', 'v', 'duration', 'concentration', '8', 'hours', 'create', 'tiny', 'incorporeal', 'hand', 'shimmering', 'light', 'unoccupied', 'space', 'see', 'within', 'range', 'hand', 'exists', 'duration', 'disappears', 'teleport', 'travel', 'different', 'plane', 'existence', 'hand', 'appears', 'name', 'one', 'major', 'landmark', 'city', 'mountain', 'castle', 'battlefield', 'plane', 'existence', 'someone', 'history', 'must', 'visited', 'site', 'mapped', 'landmark', 'appears', 'map', 'existence', 'spell', 'fails', 'otherwise', 'whenever', 'move', 'toward', 'hand', 'moves', 'away', 'speed', 'moved', 'moves', 'direction', 'landmark', 'always', 'remaining', '5', 'feet', 'away', 'don’t', 'move', 'toward', 'hand', 'remains', 'place', 'beckons', 'follow', 'every', '1d4', 'minutes', 'spell', 'lists', 'bard', 'cleric', 'druid', 'wizard']"
hail-of-thorns,"
Hail of Thorns







Source: Player's Handbook
1st-level conjuration
Casting Time: 1 bonus action
Range: Self
Components: V
Duration: Concentration, up to 1 minute
The next time you hit a creature with a ranged weapon attack before the spell ends, this spell creates a rain of thorns that sprouts from your ranged weapon or ammunition. In addition to the normal effect of the attack, the target of the attack and each creature within 5 feet of it must make a Dexterity saving throw. A creature takes 1d10 piercing damage on a failed save, or half as much damage on a successful one.
At Higher Levels. If you cast this spell using a spell slot of 2nd level or higher, the damage increases by 1d10 for each slot level above 1st (to a maximum of 6d10).
Spell Lists. Ranger












","['hail', 'thorns', 'source', 'players', 'handbook', '1stlevel', 'conjuration', 'casting', 'time', '1', 'bonus', 'action', 'range', 'self', 'components', 'v', 'duration', 'concentration', '1', 'minute', 'next', 'time', 'hit', 'creature', 'ranged', 'weapon', 'attack', 'spell', 'ends', 'spell', 'creates', 'rain', 'thorns', 'sprouts', 'ranged', 'weapon', 'ammunition', 'addition', 'normal', 'effect', 'attack', 'target', 'attack', 'creature', 'within', '5', 'feet', 'must', 'make', 'dexterity', 'saving', 'throw', 'creature', 'takes', '1d10', 'piercing', 'damage', 'failed', 'save', 'half', 'much', 'damage', 'successful', 'one', 'higher', 'levels', 'cast', 'spell', 'using', 'spell', 'slot', '2nd', 'level', 'higher', 'damage', 'increases', '1d10', 'slot', 'level', '1st', 'maximum', '6d10', 'spell', 'lists', 'ranger']"
healing-elixir-ua,"
Healing Elixir (UA)







Source: Unearthed Arcana 36 - Starter Spells
1st-level conjuration
Casting Time: 1 minute
Range: Self
Components: V, S, M (alchemist’s supplies)
Duration: 24 hours
You create a healing elixir in a simple vial that appears in your hand. The elixir retains its potency for the duration or until it’s consumed, at which point the vial vanishes.
As an action, a creature can drink the elixir or administer it to another creature. The drinker regains 2d4 + 2 hit points.
Spell Lists. Warlock, Wizard

+ Show HB Suggestion

- Hide HB Note

HBThis spell is massively overpowered. For example, a 1st-level wizard could use this spell to produce enough healing for an entire party without losing any spell slots. Additionally, it could be used to run a potion-selling scam in which the product vanishes a day after purchase. I would not recommend allowing it.
Editor's Note: I don't have a clue as to what the first point is referring to, arcane recovery only gives 1 spell slot until 4th level, spell mastery is at 18th level, and any abusable subclass features are at 2nd level. But yes, either way, this spell is overpowered, it gives non-divine caster classes access to healing, and it can be abused in numerous ways. I'd suggest limiting the duration to an hour or less.
Editor notes+: At higher levels, this allows wizards to heal creatures infinitely, and overall, wizards just shouldn't have healing spells, it goes against their design philosophy. On the warlock, its also still a confusing option, as though warlocks can gain healing spells through a celestial patron, this spell lacks any upcasting rules, which goes against the design of warlock.















","['healing', 'elixir', 'ua', 'source', 'unearthed', 'arcana', '36', 'starter', 'spells', '1stlevel', 'conjuration', 'casting', 'time', '1', 'minute', 'range', 'self', 'components', 'v', 'alchemist’s', 'supplies', 'duration', '24', 'hours', 'create', 'healing', 'elixir', 'simple', 'vial', 'appears', 'hand', 'elixir', 'retains', 'potency', 'duration', 'it’s', 'consumed', 'point', 'vial', 'vanishes', 'action', 'creature', 'drink', 'elixir', 'administer', 'another', 'creature', 'drinker', 'regains', '2d4', '2', 'hit', 'points', 'spell', 'lists', 'warlock', 'wizard', 'show', 'hb', 'suggestion', 'hide', 'hb', 'note', 'hbthis', 'spell', 'massively', 'overpowered', 'example', '1stlevel', 'wizard', 'could', 'use', 'spell', 'produce', 'enough', 'healing', 'entire', 'party', 'without', 'losing', 'spell', 'slots', 'additionally', 'could', 'used', 'run', 'potionselling', 'scam', 'product', 'vanishes', 'day', 'purchase', 'would', 'recommend', 'allowing', 'editors', 'note', 'dont', 'clue', 'first', 'point', 'referring', 'arcane', 'recovery', 'gives', '1', 'spell', 'slot', '4th', 'level', 'spell', 'mastery', '18th', 'level', 'abusable', 'subclass', 'features', '2nd', 'level', 'yes', 'either', 'way', 'spell', 'overpowered', 'gives', 'nondivine', 'caster', 'classes', 'access', 'healing', 'abused', 'numerous', 'ways', 'id', 'suggest', 'limiting', 'duration', 'hour', 'less', 'editor', 'notes', 'higher', 'levels', 'allows', 'wizards', 'heal', 'creatures', 'infinitely', 'overall', 'wizards', 'shouldnt', 'healing', 'spells', 'goes', 'design', 'philosophy', 'warlock', 'also', 'still', 'confusing', 'option', 'though', 'warlocks', 'gain', 'healing', 'spells', 'celestial', 'patron', 'spell', 'lacks', 'upcasting', 'rules', 'goes', 'design', 'warlock']"
healing-word,"
Healing Word







Source: Player's Handbook
1st-level evocation
Casting Time: 1 bonus action
Range: 60 feet
Components: V
Duration: Instantaneous
A creature of your choice that you can see within range regains hit points equal to 1d4 + your spellcasting ability modifier. This spell has no effect on undead or constructs.
At Higher Levels. When you cast this spell using a spell slot of 2nd level or higher, the healing increases by 1d4 for each slot level above 1st.
Spell Lists. Bard, Cleric, Druid












","['healing', 'word', 'source', 'players', 'handbook', '1stlevel', 'evocation', 'casting', 'time', '1', 'bonus', 'action', 'range', '60', 'feet', 'components', 'v', 'duration', 'instantaneous', 'creature', 'choice', 'see', 'within', 'range', 'regains', 'hit', 'points', 'equal', '1d4', 'spellcasting', 'ability', 'modifier', 'spell', 'effect', 'undead', 'constructs', 'higher', 'levels', 'cast', 'spell', 'using', 'spell', 'slot', '2nd', 'level', 'higher', 'healing', 'increases', '1d4', 'slot', 'level', '1st', 'spell', 'lists', 'bard', 'cleric', 'druid']"
hellish-rebuke,"
Hellish Rebuke







Source: Player's Handbook
1st-level evocation
Casting Time: 1 reaction, which you take when you are damaged by a creature within 60 feet of you that you can see
Range: 60 feet
Components: V, S
Duration: Instantaneous
You point your finger, and the creature that damaged you is momentarily surrounded by hellish flames. The creature must make a Dexterity saving throw. It takes 2d10 fire damage on a failed save, or half as much damage on a successful one.
At Higher Levels. When you cast this spell using a spell slot of 2nd level or higher, the damage increases by 1d10 for each slot level above 1st.
Spell Lists. Warlock












","['hellish', 'rebuke', 'source', 'players', 'handbook', '1stlevel', 'evocation', 'casting', 'time', '1', 'reaction', 'take', 'damaged', 'creature', 'within', '60', 'feet', 'see', 'range', '60', 'feet', 'components', 'v', 'duration', 'instantaneous', 'point', 'finger', 'creature', 'damaged', 'momentarily', 'surrounded', 'hellish', 'flames', 'creature', 'must', 'make', 'dexterity', 'saving', 'throw', 'takes', '2d10', 'fire', 'damage', 'failed', 'save', 'half', 'much', 'damage', 'successful', 'one', 'higher', 'levels', 'cast', 'spell', 'using', 'spell', 'slot', '2nd', 'level', 'higher', 'damage', 'increases', '1d10', 'slot', 'level', '1st', 'spell', 'lists', 'warlock']"
heroism,"
Heroism







Source: Player's Handbook
1st-level enchantment
Casting Time: 1 action
Range: Touch
Components: V, S
Duration: Concentration, up to 1 minute
A willing creature you touch is imbued with bravery. Until the spell ends, the creature is immune to being frightened and gains temporary hit points equal to your spellcasting ability modifier at the start of each of its turns. When the spell ends, the target loses any remaining temporary hit points from this spell.
At Higher Levels. When you cast this spell using a spell slot of 2nd level or higher, you can target one additional creature for each slot level above 1st.
Spell Lists. Bard, Paladin












","['heroism', 'source', 'players', 'handbook', '1stlevel', 'enchantment', 'casting', 'time', '1', 'action', 'range', 'touch', 'components', 'v', 'duration', 'concentration', '1', 'minute', 'willing', 'creature', 'touch', 'imbued', 'bravery', 'spell', 'ends', 'creature', 'immune', 'frightened', 'gains', 'temporary', 'hit', 'points', 'equal', 'spellcasting', 'ability', 'modifier', 'start', 'turns', 'spell', 'ends', 'target', 'loses', 'remaining', 'temporary', 'hit', 'points', 'spell', 'higher', 'levels', 'cast', 'spell', 'using', 'spell', 'slot', '2nd', 'level', 'higher', 'target', 'one', 'additional', 'creature', 'slot', 'level', '1st', 'spell', 'lists', 'bard', 'paladin']"
hex,"
Hex







Source: Player's Handbook
1st-level enchantment
Casting Time: 1 bonus action
Range: 90 feet
Components: V, S, M (the petrified eye of a newt)
Duration: Concentration, up to 1 hour
You place a curse on a creature that you can see within range. Until the spell ends, you deal an extra 1d6 necrotic damage to the target whenever you hit it with an attack. Also, choose one ability when you cast the spell. The target has disadvantage on ability checks made with the chosen ability.
If the target drops to 0 hit points before this spell ends, you can use a bonus action on a subsequent turn of yours to curse a new creature.
A Remove Curse cast on the target ends this spell early.
At Higher Levels. When you cast this spell using a spell slot of 3rd or 4th level, you can maintain your concentration on the spell for up to 8 hours. When you use a spell slot of 5th level or higher, you can maintain your concentration on the spell for up to 24 hours.
Spell Lists. Warlock












","['hex', 'source', 'players', 'handbook', '1stlevel', 'enchantment', 'casting', 'time', '1', 'bonus', 'action', 'range', '90', 'feet', 'components', 'v', 'petrified', 'eye', 'newt', 'duration', 'concentration', '1', 'hour', 'place', 'curse', 'creature', 'see', 'within', 'range', 'spell', 'ends', 'deal', 'extra', '1d6', 'necrotic', 'damage', 'target', 'whenever', 'hit', 'attack', 'also', 'choose', 'one', 'ability', 'cast', 'spell', 'target', 'disadvantage', 'ability', 'checks', 'made', 'chosen', 'ability', 'target', 'drops', '0', 'hit', 'points', 'spell', 'ends', 'use', 'bonus', 'action', 'subsequent', 'turn', 'curse', 'new', 'creature', 'remove', 'curse', 'cast', 'target', 'ends', 'spell', 'early', 'higher', 'levels', 'cast', 'spell', 'using', 'spell', 'slot', '3rd', '4th', 'level', 'maintain', 'concentration', 'spell', '8', 'hours', 'use', 'spell', 'slot', '5th', 'level', 'higher', 'maintain', 'concentration', 'spell', '24', 'hours', 'spell', 'lists', 'warlock']"
hunters-mark,"
Hunter's Mark







Source: Player's Handbook
1st-level divination
Casting Time: 1 bonus action
Range: 90 feet
Components: V
Duration: Concentration, up to 1 hour
You choose a creature you can see within range and mystically mark it as your quarry. Until the spell ends, you deal an extra 1d6 damage to the target whenever you hit it with a weapon attack, and you have advantage on any Wisdom (Perception) or Wisdom (Survival) check you make to find it.
If the target drops to 0 hit points before this spell ends, you can use a bonus action on a subsequent turn of yours to mark a new creature.
At Higher Levels. When you cast this spell using a spell slot of 3rd or 4th level, you can maintain your concentration on the spell for up to 8 hours. When you use a spell slot of 5th level or higher, you can maintain your concentration on the spell for up to 24 hours.
Spell Lists. Ranger












","['hunters', 'mark', 'source', 'players', 'handbook', '1stlevel', 'divination', 'casting', 'time', '1', 'bonus', 'action', 'range', '90', 'feet', 'components', 'v', 'duration', 'concentration', '1', 'hour', 'choose', 'creature', 'see', 'within', 'range', 'mystically', 'mark', 'quarry', 'spell', 'ends', 'deal', 'extra', '1d6', 'damage', 'target', 'whenever', 'hit', 'weapon', 'attack', 'advantage', 'wisdom', 'perception', 'wisdom', 'survival', 'check', 'make', 'find', 'target', 'drops', '0', 'hit', 'points', 'spell', 'ends', 'use', 'bonus', 'action', 'subsequent', 'turn', 'mark', 'new', 'creature', 'higher', 'levels', 'cast', 'spell', 'using', 'spell', 'slot', '3rd', '4th', 'level', 'maintain', 'concentration', 'spell', '8', 'hours', 'use', 'spell', 'slot', '5th', 'level', 'higher', 'maintain', 'concentration', 'spell', '24', 'hours', 'spell', 'lists', 'ranger']"
ice-knife,"
Ice Knife







Source: Xanathar's Guide to Everything
1st-level conjuration
Casting Time: 1 action
Range: 60 feet
Components: S, M (a drop of water or piece of ice)
Duration: Instantaneous
You create a shard of ice and fling it at one creature within range. Make a ranged spell attack against the target. On a hit, the target takes 1d10 piercing damage. Hit or miss, the shard then explodes. The target and each creature within 5 feet of the point where the ice exploded must succeed on a Dexterity saving throw or take 2d6 cold damage.
At Higher Levels. When you cast this spell using a spell slot of 2nd level or higher, the cold damage increases by 1d6 for each slot level above 1st.
Spell Lists. Druid, Sorcerer, Wizard












","['ice', 'knife', 'source', 'xanathars', 'guide', 'everything', '1stlevel', 'conjuration', 'casting', 'time', '1', 'action', 'range', '60', 'feet', 'components', 'drop', 'water', 'piece', 'ice', 'duration', 'instantaneous', 'create', 'shard', 'ice', 'fling', 'one', 'creature', 'within', 'range', 'make', 'ranged', 'spell', 'attack', 'target', 'hit', 'target', 'takes', '1d10', 'piercing', 'damage', 'hit', 'miss', 'shard', 'explodes', 'target', 'creature', 'within', '5', 'feet', 'point', 'ice', 'exploded', 'must', 'succeed', 'dexterity', 'saving', 'throw', 'take', '2d6', 'cold', 'damage', 'higher', 'levels', 'cast', 'spell', 'using', 'spell', 'slot', '2nd', 'level', 'higher', 'cold', 'damage', 'increases', '1d6', 'slot', 'level', '1st', 'spell', 'lists', 'druid', 'sorcerer', 'wizard']"
id-insinuation,"
Id Insinuation (UA)







Source: Unearthed Arcana 66 - Fighter, Rogue, and Wizard
1st-level enchantment
Casting Time: 1 action
Range: 60 feet
Components: V, S
Duration: Concentration, up to 1 minute
You unleash a torrent of conflicting desires in the mind of one creature you can see within range, impairing its ability to make decisions. The target must succeed on a Wisdom saving throw or be incapacitated. At the end of each of its turns, it takes 1d12 psychic damage, and it can then make another Wisdom saving throw. On a success, the spell ends on the target.
Spell Lists. Sorcerer, Warlock, Wizard












","['id', 'insinuation', 'ua', 'source', 'unearthed', 'arcana', '66', 'fighter', 'rogue', 'wizard', '1stlevel', 'enchantment', 'casting', 'time', '1', 'action', 'range', '60', 'feet', 'components', 'v', 'duration', 'concentration', '1', 'minute', 'unleash', 'torrent', 'conflicting', 'desires', 'mind', 'one', 'creature', 'see', 'within', 'range', 'impairing', 'ability', 'make', 'decisions', 'target', 'must', 'succeed', 'wisdom', 'saving', 'throw', 'incapacitated', 'end', 'turns', 'takes', '1d12', 'psychic', 'damage', 'make', 'another', 'wisdom', 'saving', 'throw', 'success', 'spell', 'ends', 'target', 'spell', 'lists', 'sorcerer', 'warlock', 'wizard']"
identify,"
Identify







Source: Player's Handbook
1st-level divination (ritual)
Casting Time: 1 minute
Range: Touch
Components: V, S, M (a pearl worth at least 100 gp and an owl feather)
Duration: Instantaneous
You choose one object that you must touch throughout the casting of the spell. If it is a magic item or some other magic-imbued object, you learn its properties and how to use them, whether it requires attunement to use, and how many charges it has, if any. You learn whether any spells are affecting the item and what they are. If the item was created by a spell, you learn which spell created it.
If you instead touch a creature throughout the casting, you learn what spells, if any, are currently affecting it.
Spell Lists. Artificer, Bard, Wizard












","['identify', 'source', 'players', 'handbook', '1stlevel', 'divination', 'ritual', 'casting', 'time', '1', 'minute', 'range', 'touch', 'components', 'v', 'pearl', 'worth', 'least', '100', 'gp', 'owl', 'feather', 'duration', 'instantaneous', 'choose', 'one', 'object', 'must', 'touch', 'throughout', 'casting', 'spell', 'magic', 'item', 'magicimbued', 'object', 'learn', 'properties', 'use', 'whether', 'requires', 'attunement', 'use', 'many', 'charges', 'learn', 'whether', 'spells', 'affecting', 'item', 'item', 'created', 'spell', 'learn', 'spell', 'created', 'instead', 'touch', 'creature', 'throughout', 'casting', 'learn', 'spells', 'currently', 'affecting', 'spell', 'lists', 'artificer', 'bard', 'wizard']"
illusory-script,"
Illusory Script







Source: Player's Handbook
1st-level illusion (ritual)
Casting Time: 1 minute
Range: Touch
Components: S, M (a lead-based ink worth at least 10 gp, which the spell consumes)
Duration: 10 days
You write on parchment, paper, or some other suitable writing material and imbue it with a potent illusion that lasts for the duration.
To you and any creatures you designate when you cast the spell, the writing appears normal, written in your hand, and conveys whatever meaning you intended when you wrote the text. To all others, the writing appears as if it were written in an unknown or magical script that is unintelligible. Alternatively, you can cause the writing to appear to be an entirely different message, written in a different hand and language, though the language must be one you know.
Should the spell be dispelled, the original script and the illusion both disappear. A creature with truesight can read the hidden message.
Spell Lists. Bard, Warlock, Wizard












","['illusory', 'script', 'source', 'players', 'handbook', '1stlevel', 'illusion', 'ritual', 'casting', 'time', '1', 'minute', 'range', 'touch', 'components', 'leadbased', 'ink', 'worth', 'least', '10', 'gp', 'spell', 'consumes', 'duration', '10', 'days', 'write', 'parchment', 'paper', 'suitable', 'writing', 'material', 'imbue', 'potent', 'illusion', 'lasts', 'duration', 'creatures', 'designate', 'cast', 'spell', 'writing', 'appears', 'normal', 'written', 'hand', 'conveys', 'whatever', 'meaning', 'intended', 'wrote', 'text', 'others', 'writing', 'appears', 'written', 'unknown', 'magical', 'script', 'unintelligible', 'alternatively', 'cause', 'writing', 'appear', 'entirely', 'different', 'message', 'written', 'different', 'hand', 'language', 'though', 'language', 'must', 'one', 'know', 'spell', 'dispelled', 'original', 'script', 'illusion', 'disappear', 'creature', 'truesight', 'read', 'hidden', 'message', 'spell', 'lists', 'bard', 'warlock', 'wizard']"
infallible-relay,"
Infallible Relay (UA)







Source: Unearthed Arcana 7 - Modern Magic
1st-level divination (technomagic)
Casting Time: 1 minute
Range: Self
Components: V, S, M (a mobile phone)
Duration: Concentration, up to 10 minutes
With this spell, you can target any creature with whom you have spoken previously, as long as the two of you are on the same plane of existence. When you cast the spell, the nearest functioning telephone or similar communications device within 100 feet of the target begins to ring. If there is no suitable device close enough to the target, the spell fails.
The target must make a successful Charisma saving throw or be compelled to answer your call. Once the connection is established, the call is crystal clear and cannot be dropped until the conversation has ended or the spell’s duration ends. You can end the conversation at any time, but a target must succeed on a Charisma saving throw to end the conversation.
Spell Lists. Sorcerer, Warlock, Wizard












","['infallible', 'relay', 'ua', 'source', 'unearthed', 'arcana', '7', 'modern', 'magic', '1stlevel', 'divination', 'technomagic', 'casting', 'time', '1', 'minute', 'range', 'self', 'components', 'v', 'mobile', 'phone', 'duration', 'concentration', '10', 'minutes', 'spell', 'target', 'creature', 'spoken', 'previously', 'long', 'two', 'plane', 'existence', 'cast', 'spell', 'nearest', 'functioning', 'telephone', 'similar', 'communications', 'device', 'within', '100', 'feet', 'target', 'begins', 'ring', 'suitable', 'device', 'close', 'enough', 'target', 'spell', 'fails', 'target', 'must', 'make', 'successful', 'charisma', 'saving', 'throw', 'compelled', 'answer', 'call', 'connection', 'established', 'call', 'crystal', 'clear', 'cannot', 'dropped', 'conversation', 'ended', 'spell’s', 'duration', 'ends', 'end', 'conversation', 'time', 'target', 'must', 'succeed', 'charisma', 'saving', 'throw', 'end', 'conversation', 'spell', 'lists', 'sorcerer', 'warlock', 'wizard']"
inflict-wounds,"
Inflict Wounds







Source: Player's Handbook
1st-level necromancy
Casting Time: 1 action
Range: Touch
Components: V, S
Duration: Instantaneous
Make a melee spell attack against a creature you can reach. On a hit, the target takes 3d10 necrotic damage.
At Higher Levels. When you cast this spell using a spell slot of 2nd level or higher, the damage increases by 1d10 for each slot level above 1st.
Spell Lists. Cleric












","['inflict', 'wounds', 'source', 'players', 'handbook', '1stlevel', 'necromancy', 'casting', 'time', '1', 'action', 'range', 'touch', 'components', 'v', 'duration', 'instantaneous', 'make', 'melee', 'spell', 'attack', 'creature', 'reach', 'hit', 'target', 'takes', '3d10', 'necrotic', 'damage', 'higher', 'levels', 'cast', 'spell', 'using', 'spell', 'slot', '2nd', 'level', 'higher', 'damage', 'increases', '1d10', 'slot', 'level', '1st', 'spell', 'lists', 'cleric']"
